,유적지명,시도명,시군구명,경도,위도
1268,마애여래좌상,전라북도,남원시,127.3036484,35.4334436
1269,청송사지삼층석탑,울산광역시,울주군,129.22335,35.52246772
1270,고막천석교,전라남도,나주시,126.5928916,35.02311567
1271,법경대사자등탑비,충청북도,충주시,128.0470181,37.03053322
1272,보천사지삼층석탑,경상남도,의령군,128.2342822,35.30971531
1273,징효대사탑비,강원도,영월군,128.2603782,37.37196934
1274,신복사지삼층석탑,강원도,강릉시,128.8855496,37.74276619
1275,석불입상,전라북도,남원시,127.4126347,35.41039754
1276,동오층석탑,광주광역시,동구,126.9330431,35.14891551
1277,보광명전,전라북도,완주군,127.25727,35.91061442
1278,화천동삼층석탑,경상북도,영양군,129.1703019,36.64698566
1279,삼층석탑,경상북도,경주시,129.3496433,35.69739977
1280,향산리삼층석탑,충청북도,단양군,128.4177296,37.05424489
1281,삼층석탑,강원도,원주시,127.7920757,37.19307006
1282,연안이씨종중문적,전라북도,익산시,127.0161263,36.02536039
1283,혜소국사비,경기도,안성시,127.3969341,37.02650312
1284,성풍사지오층석탑,전라남도,영암군,126.7042317,34.79100748
1285,영산전,경기도,안성시,127.3068116,36.93988129
1286,승안사지삼층석탑,경상남도,함양군,127.7972055,35.57261399
1287,원증국사탑비,경기도,고양시 덕양구,126.9788004,37.64571192
1288,서봉총금관,경상북도,경주시,129.227876,35.82944414
1289,원당암,경상남도,합천군,128.0927092,35.80105336
1290,경릉,경기도,구리시,127.1271691,37.618552
1291,헌강왕릉,경상북도,경주시,129.2401226,35.80219918
1292,헌인릉,서울특별시,서초구,127.0818537,37.46603344
1293,광릉,경기도,남양주시,127.1764787,37.7508775
1294,정릉,서울특별시,강남구,127.0517469,37.50904672
1295,영순군김제군부인묘,서울특별시,강남구,127.0925659,37.48616741
1296,경릉,경기도,고양시 덕양구,126.8931101,37.63012242
1297,성주성산동고분군,경상북도,성주군,128.3003452,35.90442283
1298,고양공양왕릉,경기도,고양시 덕양구,126.8391269,37.68044663
1299,어후오름,제주특별자치도,제주시,126.5939448,33.38559824
1300,가시오름,제주특별자치도,서귀포시,126.255546,33.24576781
1301,좌보미,제주특별자치도,서귀포시,126.8073507,33.43565236
1302,살핀오름,제주특별자치도,제주시,126.4886581,33.36776374
1303,묘봉,충청북도,보은군,127.8264679,36.57119183
1304,천아오름,제주특별자치도,제주시,126.298655,33.40463331
1305,망동산,제주특별자치도,제주시,126.9634045,33.49795643
1306,과오름,제주특별자치도,제주시,126.3237432,33.44600372
1307,쌀손장오리오름,제주특별자치도,제주시,126.5977945,33.41752349
1308,삼도봉,충청북도,영동군,127.8767163,36.02264162
1309,연실봉,전라남도,함평군,126.5650948,35.1906968
1310,벼락바위봉,강원도,원주시,128.0322176,37.25667012
1311,좌보미알오름,제주특별자치도,서귀포시,126.8141237,33.43181279
1312,눈오름,제주특별자치도,제주시,126.3124358,33.40788711
1313,돌오름,제주특별자치도,제주시,126.5900942,33.40970918
1314,손자봉,제주특별자치도,제주시,126.8188048,33.45613924
1315,돌오름,제주특별자치도,서귀포시,126.4235459,33.33379443
1316,옥녀봉,전라남도,순천시,127.5493724,34.92536482
1317,탕건봉,경상북도,울릉군,131.865366,37.24340427
1318,오구시오름,제주특별자치도,제주시,126.5350908,33.47022662
1319,용샘,충청남도,천안시 동남구,127.2533013,36.87730139
1320,회목봉,강원도,철원군,127.4503379,38.11974269
1321,금대봉,강원도,정선군,128.9157178,37.21173174
1322,옥녀봉,경상남도,거제시,128.6928991,34.85192017
1323,삼수령,강원도,태백시,128.9856591,37.22199063
1324,족은노로오름,제주특별자치도,제주시,126.441682,33.38415231
1325,바리메,제주특별자치도,제주시,126.3878293,33.37784907
1326,독자봉,제주특별자치도,서귀포시,126.8542939,33.3878667
1327,월라봉,제주특별자치도,서귀포시,126.3498631,33.24440293
1328,알선족이오름,제주특별자치도,제주시,126.7824052,33.48237541
1329,도일봉,경기도,양평군,127.6131762,37.57848886
1330,원통봉,전라남도,곡성군,127.3382591,35.0938944
1331,두곡서원,전라북도,김제시,126.7156824,35.85649119
1332,신채호선생사당,충청북도,청주시 상당구,127.6201683,36.63616273
1333,백제요지,서울특별시,관악구,126.9794935,37.4745949
1334,병영성지,전라남도,강진군,126.8163318,34.72024882
1335,와룡암,전라북도,진안군,127.4294068,35.97543027
1336,호로고루성지,경기도,연천군,126.8583914,37.98729498
1337,긍구당,경상북도,안동시,128.8090538,36.7642946
1338,김시습영정,충청남도,부여군,126.6933107,36.31757956
1339,마애불,충청북도,옥천군,127.5641422,36.25929933
1340,망양정,경상북도,울진군,129.4125293,36.96719824
