,사업장명,시도명,시군구명,경도,위도
849,아트센터 신선,전라남도,목포시,126.42708445935978,34.793799052705246
850,소소 미술관,전라남도,화순군,126.90473524571865,35.03321582173553
851,행촌미술관,전라남도,해남군,126.61183002812113,34.56891968646253
852,공예미술관 보임쉔,전라남도,담양군,126.87882368177108,35.24588084588676
853,경훈미술관,전라남도,목포시,126.41719814343611,34.79105085597688
854,모긴미술관,전라남도,순천시,127.45719804967757,35.15657891229637
855,소아르미술관,전라남도,화순군,126.95864601824384,35.072748500865934
856,진도 솔마루미술관,전라남도,진도군,inf,inf
857,양구인문학박물관,강원도,양구군,127.98047331146383,38.11920309230309
858,방산자기박물관,강원도,양구군,127.95025050501387,38.20498354608164
859,"통일공원(함정전시관, 안보전시관) 박물관",강원도,강릉시,128.99772375762439,37.71930871435057
860,난고김삿갓문학관,강원도,영월군,128.60086406900533,37.07734062481844
861,단종역사관,강원도,영월군,128.45429877527692,37.19253027431935
862,탄광문화촌,강원도,영월군,128.466243827851,37.2601682841701
863,별마로천문대,강원도,영월군,128.48498246300846,37.19647078849017
864,동강생태정보센터,강원도,영월군,128.5047189201142,37.225429860790676
865,원주역사박물관,강원도,원주시,127.96604761718302,37.3401715384926
866,영월초등교육박물관,강원도,영월군,128.4310552856992,37.249988272497355
867,영월미디어기자박물관,강원도,영월군,128.35562873991518,37.240657873709345
868,인도미술박물관,강원도,영월군,128.23817565435908,37.234226349945516
869,영월종교미술박물관,강원도,영월군,128.4446897880191,37.20810130384964
870,DMZ 박물관,강원도,고성군,128.38188965690443,38.573804028092106
871,정동진시간박물관,강원도,강릉시,129.0366519427597,37.68490959346976
872,정동진박물관,강원도,강릉시,129.0366519427597,37.68490959346976
873,정동진시간박물관,강원도,강릉시,129.0366519427597,37.68490959346976
874,영월동굴생태관,강원도,영월군,128.53588556304965,37.12759792907725
875,환희컵박물관,강원도,강릉시,128.94234265622595,37.771559285044944
876,만봉불화박물관,강원도,영월군,128.60774802897816,37.15224305389093
877,여초서예관,강원도,인제군,128.31864936889374,38.18654982772495
878,여초서예관,강원도,인제군,128.31864936889374,38.18654982772495
879,영월곤충박물관,강원도,영월군,128.4219891322099,37.2084193866829
880,자연아놀자박물관,강원도,강릉시,128.90308963013555,37.78269074170115
881,손성목영화박물관,강원도,강릉시,128.8970575228511,37.795525188783834
882,더월드베스트필름뮤지엄박물관,강원도,강릉시,128.88873622270398,37.801395934731126
883,손성목영화박물관,강원도,강릉시,128.88873622270398,37.801395934731126
884,한국시집박물관,강원도,인제군,128.3176057539753,38.185976561565006
885,한국시집박물관,강원도,인제군,128.3176057539753,38.185976561565006
886,화천박물관,강원도,화천군,127.70354824438301,38.095125339622264
887,연세대학교원주박물관,강원도,원주시,127.91451847249299,37.27868479203099
888,속초해변자연박물관,강원도,속초시,128.600758289538,38.188242183952326
889,시와 철학이 숨 쉬는 공간 양구 인문학 박물관,강원도,양구군,127.98047331146383,38.11920309230309
890,시와 철학이 숨 쉬는 공간 양구 인문학 박물관,강원도,양구군,127.98047331146383,38.11920309230309
891,양구인문학박물관,강원도,양구군,127.98047331146383,38.11920309230309
892,양구근현대사박물관,강원도,양구군,127.98953095242305,38.12076892653638
893,무릉고서화미술박물관,강원도,원주시,127.88609122075106,37.32221517000135
894,강원감영 관찰사 박물관,강원도,원주시,127.885867,37.3292687
895,강원감영관찰사박물관,강원도,원주시,127.88609122075106,37.32221517000135
896,경포아쿠아리움박물관,강원도,강릉시,128.90659933809846,37.78763934089094
897,삼탄아트마인,강원도,정선군,128.8818182612586,37.18249643089775
898,영월 Y파크(술샘박물관),강원도,영월군,128.269206,37.2740029
899,국립춘천박물관,강원도,춘천시,127.75254981029701,37.86110581254573
900,산림박물관,강원도,춘천시,127.72461050969247,37.920589139806545
901,오죽헌시립박물관,강원도,강릉시,128.87614959990088,37.77514369079988
902,삼척시립박물관,강원도,삼척시,129.15757497879002,37.4361373017002
903,양구군립미술관,강원도,양구군,127.98071667070477,38.093657521394526
904,양구선사박물관,강원도,양구군,inf,inf
905,원주시립박물관,강원도,원주시,127.96604761718302,37.3401715384926
906,인제산촌민속박물관,강원도,인제군,128.17076398800594,38.06011329051371
907,경찰박물관,강원도,춘천시,127.74950266331909,37.922827436245704
908,강릉원주대학교박물관,강원도,강릉시,128.86835962359547,37.767250934271765
909,가톨릭관동대학교박물관,강원도,강릉시,128.8732832075524,37.73337373647029
910,강원대학교박물관,강원도,춘천시,127.74417371875252,37.866299083863936
911,한림대학교박물관,강원도,춘천시,127.73435602825866,37.88407086715244
