,체험지명,시도명,시군구명,경도,위도
222,림아뜨리에,서울,서대문구,126.9645415,37.56764702
223,에코아트,서울,서대문구,126.9636743,37.56810897
224,송죽필방,서울,종로구,126.9836189,37.57294996
225,우리한지,서울,종로구,126.983242,37.57257149
226,동산방 화랑,서울,종로구,126.9833823,37.57291389
227,성림표구사,서울,종로구,126.9832783,37.57217146
228,동헌필방,서울,종로구,126.9833009,37.57213902
229,한국불교미술원,서울,종로구,126.981784,37.57243072
230,원아트,서울,종로구,126.9834639,37.57235168
231,불사원,서울,종로구,126.9825764,37.57229389
232,조선화랑골동품,서울,종로구,126.9817976,37.57247397
233,수아당,서울,종로구,126.9841632,37.57360957
234,갤러리콩세유,서울,종로구,126.9850575,37.57341507
235,미애아트,서울,종로구,126.9825674,37.57231191
236,예성화랑,서울,종로구,126.9836177,37.57295357
237,전북한지,서울,종로구,126.9853351,37.57211226
238,아지트갤러리,서울,종로구,126.9848651,37.5735556
239,쌈지길체험공방,서울,종로구,126.9848355,37.57425116
240,대승사,서울,종로구,126.9838892,37.57395191
241,서광표구화랑,서울,종로구,126.985369,37.57257358
242,한티공방,서울,종로구,126.9833863,37.57514656
243,공예정원,서울,종로구,126.9841178,37.57401501
244,나무아트,서울,종로구,126.9839931,37.57487544
245,나무화랑,서울,종로구,126.9840418,37.57488536
246,롯데갤러리 본점,서울,중구,126.9817993,37.56522636
247,드로잉제인,서울,중구,126.9842324,37.56743776
248,갤러리포인트,서울,중구,126.9849004,37.5669423
249,갤러리인,서울,종로구,126.9867173,37.57192953
250,인사동경매,서울,종로구,126.984655,37.57266965
251,세진아트,서울,종로구,126.9818648,37.57540762
252,갤러리 몬도베르,서울,종로구,126.9822021,37.57535091
253,갤러리바이올렛,서울,종로구,126.9841018,37.57485653
254,토독공방,서울,종로구,126.983667,37.57527454
255,마이아트옥션하우스,서울,종로구,126.9838572,37.57547639
256,김말임손뜨개스튜디오,서울,종로구,126.9833908,37.57511232
257,노화랑,서울,종로구,126.9840701,37.57488716
258,대흥당,서울,종로구,126.9826619,37.57475182
259,토인,서울,종로구,126.9844506,37.57440969
260,아트스페이스 이색,서울,종로구,126.9845724,37.57651443
261,아트큐브플러스,서울,종로구,126.9798221,37.57730659
262,홍백화방,서울,종로구,126.983676,37.575516
263,장생호,서울,종로구,126.9837485,37.57517003
264,갤러리가이아,서울,종로구,126.9834678,37.57509431
265,갤러리너트,서울,종로구,126.9837436,37.57728557
266,백운당,서울,종로구,126.9835641,37.57493124
267,얼씨구마당,서울,종로구,126.9835222,37.57500782
268,헤올,서울,종로구,126.9811397,37.57769964
269,가나화랑,서울,종로구,126.9839388,37.57499707
270,갤러리미르,서울,종로구,126.9807186,37.57761307
271,신상갤러리,서울,종로구,126.9865158,37.57230882
272,희수갤러리,서울,종로구,126.9867015,37.57196646
273,예촌,서울,종로구,126.9864342,37.57255028
274,어라연 전각체험관,서울,종로구,126.9856767,37.57363138
275,애플갤러리,서울,종로구,126.9856553,37.57286373
276,지운당,서울,종로구,126.9858443,37.57306468
277,미로화방,서울,종로구,126.9864431,37.57315575
278,보물찾기,서울,종로구,126.9854437,37.57253394
279,동양한지,서울,종로구,126.9865745,37.57320442
280,지아트갤러리,서울,종로구,126.9857163,37.57358454
281,성문당필방,서울,종로구,126.9863254,37.5731233
282,은호당표구사,서울,종로구,126.985148,37.57404578
283,두리한지공방,서울,종로구,126.9868192,37.57166735
284,윤갤러리,서울,종로구,126.9854377,37.57417195
285,갤러리화인,서울,종로구,126.9850709,37.57442058
286,우리미,서울,종로구,126.985646,37.57413233
287,꼴액자,서울,종로구,126.9846994,37.5752026
288,더스타갤러리,서울,종로구,126.9851141,37.57371781
289,펀캐리커처,서울,종로구,126.9848332,37.57424035
290,예하도예,서울,종로구,126.9850664,37.57442418
291,우림,서울,종로구,126.9858996,37.57423688
292,갤러리단디,서울,종로구,126.9848627,37.5739196
293,정원표구,서울,종로구,126.9849578,37.57406738
294,컬렉터의집더원화랑,서울,종로구,126.9846578,37.57402949
295,정일표구사,서울,종로구,126.9856733,37.57336108
296,오주현도자기인형,서울,종로구,126.9843328,37.57454662
297,리한지갤러리,서울,종로구,126.9832689,37.57369594
298,돈화문갤러리,서울,종로구,126.9906268,37.57489868
299,공드린,서울,종로구,126.9905406,37.57657993
300,무크스튜디오,서울,종로구,126.991057,37.57490412
301,더샤드포슬린,서울,종로구,126.9908714,37.5742698
302,비원길화랑,서울,종로구,126.9904139,37.57572938
303,아티팩스,서울,종로구,126.9907058,37.57653849
304,묵호당표구사,서울,종로구,126.9903142,37.57589876
305,이조골동품,서울,종로구,126.9905813,37.57657993
306,조각보코리아,서울,종로구,126.9911815,37.57457436
307,고려방갤러리,서울,종로구,126.9906719,37.5761835
308,송백물물,서울,종로구,126.9909834,37.5749852
309,마고목공소&수정상점,서울,종로구,126.9909166,37.57537262
310,백련의상만물사,서울,종로구,126.9907265,37.57470948
311,수공,서울,종로구,126.991007,37.57592494
312,미송대금공방,서울,종로구,126.9911023,37.57458337
313,고미술자기사랑,서울,종로구,126.9903425,37.57589065
314,자수공방,서울,종로구,126.9903641,37.57587894
315,배키맴,서울,종로구,126.9911023,37.57458337
316,묵호당표구사 작업공방,서울,종로구,126.9907624,37.57657994
317,희망공예,서울,종로구,126.9904569,37.57576542
318,제로룸152,서울,종로구,126.989521,37.58191012
319,북촌단청공방,서울,종로구,126.9893487,37.58302914
320,헤올,서울,종로구,126.9891234,37.58303002
321,리기태전통연공방,서울,종로구,126.9893397,37.58303815
322,서이갤러리,서울,종로구,126.9869171,37.58188103
323,푸시투엔터 PUSH TO ENTER,서울,종로구,126.9895187,37.58191012
324,갤러리소공헌,서울,종로구,126.9891454,37.5796576
325,어쩌다공방,서울,종로구,126.9876958,37.58314611
326,A.JEW,서울,종로구,126.9888259,37.58129558
327,스튜디오에잇 북촌점,서울,종로구,126.9892765,37.58171909
328,925홀릭,서울,종로구,126.9877184,37.58298754
329,카넬라,서울,종로구,126.9872861,37.58198919
330,자연공감도,서울,종로구,126.9891229,37.57909899
331,스튜디오에잇 쇼룸,서울,종로구,126.9890452,37.58370846
332,소반공방,서울,종로구,126.9870075,37.58241803
333,드문,서울,종로구,126.9866862,37.58157467
334,일상여백,서울,종로구,126.9868538,37.58129718
335,컴바인웍스,서울,종로구,126.987012,37.58296313
336,유예재,서울,종로구,126.9885942,37.57888089
337,종이나무갤러리,서울,종로구,126.9860928,37.58234224
338,서로재,서울,종로구,126.9865415,37.58017991
339,금박연,서울,종로구,126.9862614,37.58258373
340,보빈느스튜디오,서울,종로구,126.9883347,37.58058014
341,서순라길 아원,서울,종로구,126.9917903,37.5772855
342,스페이스금채,서울,종로구,126.9916797,37.57431311
343,권농공간,서울,종로구,126.9916114,37.57737649
344,희망공예,서울,종로구,126.9912605,37.57668089
345,대흥공예,서울,종로구,126.9918755,37.57433114
346,클래스1YP,서울,종로구,126.9917903,37.57736569
347,대성재료상사,서울,종로구,126.9924473,37.5729869
348,메이나인쓰,서울,종로구,126.9905749,37.57361295
349,아이옥션,서울,종로구,126.9904458,37.57417246
350,장은선갤러리,서울,종로구,126.9896711,37.57667716
351,남송보석공예명인공방,서울,종로구,126.9915416,37.57389144
352,일신화방,서울,종로구,126.9897484,37.57436341
353,희망공예,서울,종로구,126.9907673,37.57393463
354,소현화랑,서울,종로구,126.9897256,37.57564282
355,세로방,서울,종로구,126.991365,37.57393107
