,상호명,시도명,시군구명,경도,위도
231,K모텔,강원도,강릉시,128.897933471496,37.7598862600629
232,봉포플라트폼,강원도,고성군,128.56749070611,38.2461022193256
233,권가락지,강원도,인제군,128.345580842216,38.2365682011266
234,장수터펜션,강원도,인제군,128.239350020293,38.0142251579561
235,고성리버민박,강원도,정선군,128.602086972762,37.2689989499501
236,둥지펜션,강원도,춘천시,127.564053621472,37.8179865386692
237,솔그린펜션,강원도,영월군,128.340012926299,37.2933355600172
238,야곱의사닥다리펜션,강원도,홍천군,127.687941530906,37.6929362320882
239,경진여관,강원도,홍천군,127.887583029939,37.6907905765894
240,우디밸리펜션,강원도,영월군,128.602606384298,37.0819227471897
241,국현명라마다설악해양호텔,강원도,속초시,128.610098081904,38.1742525663668
242,씨에스타펜션,강원도,강릉시,128.912313785453,37.7969157459083
243,잠잠비치,강원도,양양군,128.757035820119,37.9811459816284
244,제주골황토,강원도,고성군,128.359953867553,38.3089085717753
245,발리모텔,강원도,강릉시,128.882248850106,37.7541390646068
246,유광장여관,강원도,속초시,128.592261494502,38.2111935716311
247,내린천장,강원도,인제군,128.317726039868,37.9561946341113
248,매봉산장,강원도,원주시,128.138724881746,37.2606083428917
249,예다움캠핑장,강원도,영월군,128.670954351213,37.1097072198344
250,경기민박,강원도,고성군,128.545831463871,38.3028122496111
251,빅하우스펜션,강원도,평창군,128.380931566858,37.6140262742327
252,모텔꿈드림,강원도,태백시,129.029769425209,37.0871202340499
253,큐브,강원도,강릉시,128.913178426007,37.7998193228566
254,화선모텔,강원도,강릉시,128.910815985575,37.7655449177767
255,점말펜션,강원도,원주시,127.831394582151,37.3759754507037
256,생수가든민박,강원도,태백시,128.92864205798,37.1214317204718
257,그린밸리,강원도,철원군,127.27632874228,38.1828875756553
258,호게원펜션,강원도,홍천군,128.021743146888,37.8007613619992
259,미리내펜션,강원도,강릉시,128.773249098521,37.8271756762686
260,알프스모텔,강원도,평창군,128.55825447379,37.6377844255772
261,동강676펜션,강원도,영월군,128.506124326431,37.223599179787
262,워싱턴모텔,강원도,강릉시,128.882479967971,37.754488733153
263,길캠프,강원도,영월군,128.154155335721,37.3029870237726
264,들꽃산장펜션,강원도,영월군,128.195890124923,37.341051473899
265,삼성파크,강원도,철원군,127.215936868564,38.2092854479125
266,강촌산여울,강원도,춘천시,127.615637412831,37.8234191741408
267,알레한드로펜션,강원도,홍천군,128.03266909452,37.6756657700931
268,피에스타펜션,강원도,춘천시,127.574058006739,37.8124457368465
269,치악산한다리골캠핑장,강원도,원주시,128.064547458724,37.4260892782744
270,간현유원지캠핑장,강원도,원주시,127.825761127369,37.3658118038094
271,보문장여관,강원도,양구군,127.989950803006,38.108262644797
272,덕산기의아침펜션,강원도,정선군,128.73036425233,37.3657668171657
273,카라반파크강릉경포대점,강원도,강릉시,128.893877406563,37.8141853503349
274,캠프Y펜션,강원도,춘천시,127.573785279152,37.8124717814758
275,대송민박,강원도,양양군,128.629266708278,38.1178133739067
276,로하스동강펜션,강원도,정선군,128.615042271235,37.3410387671042
277,더비샵펜션,강원도,춘천시,127.574266315987,37.8117707139237
278,리치모텔,강원도,강릉시,129.033914015241,37.62569983146
279,라온모텔,강원도,속초시,128.582694729891,38.1986008479207
280,귀빈장,강원도,홍천군,127.883716299963,37.6908949544557
281,경포의하루,강원도,강릉시,128.896929142499,37.7988809569343
282,용수장여관,강원도,화천군,127.706741209269,38.1029596916884
283,하얀집펜션,강원도,고성군,128.435501423856,38.4864537954579
284,쏠모텔,강원도,강릉시,128.893877406563,37.8141853503349
285,세화산장민박,강원도,원주시,127.82274137311,37.3680961317692
286,핑크하우스펜션,강원도,평창군,128.388308849661,37.5208853374521
287,그린풍경자연펜션,강원도,홍천군,127.77174633283,37.6458855864445
288,세인트로렌스펜션,강원도,춘천시,127.558335299785,37.8417164243144
289,휘닉스민박,강원도,평창군,128.336601704081,37.5798843381606
290,강촌꿈꾸는숲펜션,강원도,춘천시,127.59284579326,37.8347136298661
291,산새소리,강원도,인제군,128.346387524471,37.8511085706576
292,명동모텔,강원도,양양군,128.62557880612,38.0771896887233
293,시공사랑,강원도,평창군,128.344335634205,37.56288580575
294,도레미펜션,강원도,철원군,127.440996086263,38.2410434887216
295,가든펜션,강원도,인제군,128.198407813207,38.212204477498
296,펜션두리,강원도,삼척시,129.260203658415,37.3452695891506
297,대암산힐링캠핑펜션,강원도,인제군,128.172232453384,38.216083960262
298,산타마리,강원도,춘천시,127.564650746316,37.8168804758311
